profile_name;group_size;friend_count;friends_target;friends_miss;active_period;active_period_month;posts_per_month;used_grp_key_cnt;grp_memberships;size_keys_file_kb
ticklishrabbit109;17;271;271;0;7 years 5 month 4 days;89;5.617977528089888;67;0 0 20 20 20 20 20 20 10 20 20 20 20 20 20 20 1;404
goldenladybug219;26;343;343;0;11 years 6 month 14 days;138;3.6231884057971016;150;0 0 0 20 20 20 20 18 20 20 20 20 20 20 20 20 13 20 20 20 20 20 20 20 20 6;914
blackfish356;12;209;209;0;13 years 4 month 29 days;160;3.125;90;0 20 20 20 20 20 20 20 20 20 20 9;547
heavyfrog799;20;243;243;0;6 years 11 month 5 days;83;6.024096385542169;95;0 0 0 20 20 19 20 20 20 20 20 20 3 20 20 20 20 20 20 9;499
orangewolf216;17;302;302;0;11 years 6 month 22 days;138;3.6231884057971016;97;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 2;673
organicfish977;22;288;288;0;12 years 10 month 13 days;154;3.2467532467532467;140;0 0 0 20 20 20 16 20 20 20 20 20 20 20 9 20 20 20 20 20 20 3;758
beautifulpanda469;18;306;306;0;12 years 7 month 22 days;151;3.3112582781456954;114;0 0 20 20 20 20 20 20 20 10 20 20 20 20 20 20 20 16;686
purplecat774;18;326;326;0;8 years 7 month 7 days;103;4.854368932038835;66;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 6;476
crazygorilla132;15;267;267;0;11 years 0 month 8 days;132;3.787878787878788;89;0 20 20 20 20 20 20 20 20 20 20 20 20 20 7;608
redgoose336;25;307;307;0;7 years 11 month 9 days;95;5.2631578947368425;101;0 0 0 20 20 20 7 20 20 20 20 20 20 20 20 14 20 20 20 20 20 20 20 20 1;577
greenbird447;20;363;363;0;16 years 5 month 8 days;197;2.5380710659898478;146;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 3;1045
yellowmouse204;18;330;330;0;10 years 2 month 13 days;122;4.098360655737705;93;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 10;672
yellowmeercat889;28;376;376;0;7 years 11 month 21 days;95;5.2631578947368425;95;0 0 0 20 20 20 20 20 11 20 20 20 20 20 20 20 20 20 6 20 20 20 20 20 20 20 20 1;590
greenlion634;14;253;253;0;8 years 1 month 6 days;97;5.154639175257732;62;0 20 20 20 20 20 20 20 20 20 20 20 20 13;410
greenrabbit943;21;257;257;0;9 years 0 month 1 days;108;4.62962962962963;97;0 0 0 20 20 20 9 20 20 20 20 20 20 19 20 20 20 20 20 20 2;535
bigelephant712;28;282;282;0;9 years 1 month 11 days;109;4.587155963302752;142;0 0 0 0 20 20 11 20 20 20 20 20 20 12 20 20 20 20 20 20 19 20 20 20 20 20 20 12;781
yellowrabbit476;34;354;354;0;9 years 1 month 22 days;109;4.587155963302752;137;0 0 0 0 20 20 13 20 20 20 20 20 20 20 20 4 20 20 20 20 20 20 20 20 16 20 20 20 20 20 20 20 20 17;822
bigcat321;18;322;322;0;8 years 10 month 2 days;106;4.716981132075472;70;0 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 2;488
silverostrich202;11;198;198;0;11 years 2 month 14 days;134;3.7313432835820897;80;0 20 20 20 20 20 20 20 20 20 18;506
